,id,question,answer,input_hallucination_reason,has_input_hallucination,contextual_hallucination_reason,has_contextual_hallucination,factual_hallucination_reason,has_factual_hallucination
0,1,O que caracteriza o crime de peculato?,"O crime de peculato é caracterizado por apropriar-se o funcionário público de dinheiro, valor ou qualquer outro bem móvel, público ou particular, de que tem a posse em razão do cargo, ou desviá-lo, em proveito próprio ou alheio. Também pode ocorrer quando o funcionário, embora não tendo a posse, subtrai ou concorre para que seja subtraído, em proveito próprio ou alheio, valendo-se de facilidade que lhe proporciona a qualidade de funcionário. (Art. 312 do Código Penal)","Não houve alucinação de input, pois a resposta está diretamente relacionada à pergunta sobre as características do crime de peculato, explicando de forma precisa e correta o que define esse crime conforme o Código Penal.",0.,"A resposta não apresenta contradição no contexto, pois explica claramente as formas caracterizadoras do crime de peculato conforme o Art. 312 do Código Penal, sem apresentar informações conflitantes ou incoerentes.",0 ,"Não houve alucinação factual, pois a descrição do crime de peculato apresentada está correta e condiz com o Art. 312 do Código Penal, que define o peculato como a apropriação ou desvio de dinheiro, valor ou bem móvel por parte de funcionário público em razão do cargo, inclusive quando ocorre subtração valendo-se da qualidade de funcionário.",0.
1,2,Qual a pena prevista para injúria quando há utilização de elementos referentes à religião ou condição de pessoa idosa ou com deficiência?,"A pena prevista para injúria quando há utilização de elementos referentes à religião, raça, cor, etnia, procedência nacional ou condição de pessoa idosa ou com deficiência é de reclusão de um a três anos e multa. (Art. 140, § 3º, do Código Penal)","Não houve alucinação de input, pois a resposta está diretamente relacionada à pergunta feita, indicando corretamente a pena prevista para injúria com utilização de elementos referentes à religião, condição de pessoa idosa ou com deficiência, conforme solicitado.",0.,"Não houve alucinação contextual porque o texto apresenta uma informação jurídica clara e consistente sobre a pena prevista para injúria com determinadas qualificadoras, sem contradição ou incoerência no contexto apresentado.",0 ,"A informação está correta, pois o texto citado corresponde ao Art. 140, § 3º, do Código Penal, que realmente prevê pena de reclusão de um a três anos e multa para injúria com elementos discriminatórios como religião, raça, cor, etnia, procedência nacional, condição de pessoa idosa ou com deficiência. Portanto, não há alucinação factual.",0 
2,3,O que caracteriza o feminicídio?,"O feminicídio é uma qualificadora do crime de homicídio, caracterizado por ser cometido contra a mulher por razões da condição de sexo feminino. Isso inclui violência doméstica e familiar, ou menosprezo/discriminação à condição de mulher. (Art. 121, § 2º, VI e § 2º-A, do Código Penal)","Não houve alucinação de input, pois a resposta está diretamente relacionada à pergunta sobre o que caracteriza o feminicídio, explicando corretamente o conceito legal e as circunstâncias que o definem.",0.,"A resposta não apresenta contradição no contexto, pois explica corretamente a qualificadora do crime de feminicídio e relaciona adequadamente os elementos mencionados no Código Penal, mantendo a coerência entre as partes do texto.",0 ,"A informação está correta, pois o feminicídio é realmente uma qualificadora do crime de homicídio, caracterizado por ser cometido contra a mulher por razões da condição do sexo feminino, conforme previsto no Art. 121, §§ 2º, VI e 2º-A do Código Penal.",0 
3,4,Quais ações constituem o crime de extorsão?,"Constituem o crime de extorsão as ações de constranger alguém, mediante violência ou grave ameaça, e com o intuito de obter para si ou para outrem indevida vantagem econômica, a fazer, tolerar que se faça ou deixar de fazer alguma coisa. (Art. 158 do Código Penal)","Não houve alucinação de input, pois a resposta está diretamente relacionada à pergunta feita, explicando quais ações configuram o crime de extorsão conforme o Código Penal.",0.,"Não houve alucinação contextual, pois o texto apresenta uma definição coerente e consistente do crime de extorsão conforme o artigo 158 do Código Penal, sem contradições internas.",0.,"A informação está correta, o artigo mencionado do Código Penal realmente define o crime de extorsão como descrito, incluindo a obtenção de vantagem econômica mediante violência ou grave ameaça.",0 
4,5,O que caracteriza a legítima defesa?,"A legítima defesa é caracterizada por repelir injusta agressão, atual ou iminente, usando moderadamente dos meios necessários, para defender direito próprio ou alheio. É uma causa de exclusão da ilicitude.","Não houve alucinação de input, pois a resposta está diretamente relacionada à pergunta feita sobre o que caracteriza a legítima defesa, explicando seus critérios legais de forma clara e objetiva.",0.,A resposta não apresenta contradição; a definição e a função da legítima defesa estão consistentes no texto e não se contradizem.,0 ,"A informação apresentada está correta segundo o direito penal: a legítima defesa realmente se caracteriza por repelir uma agressão injusta, atual ou iminente, utilizando meios moderados e necessários para proteger direito próprio ou de terceiro, e é uma causa de exclusão da ilicitude. Portanto, não há alucinação factual.",0 
5,6,O que caracteriza o crime de corrupção passiva?,"O crime de corrupção ativa é caracterizado por prometer vantagem indevida a funcionário público para determiná-lo a praticar, omitir ou retardar ato de ofício","Houve alucinação de input porque a pergunta é sobre corrupção passiva, mas a resposta fala sobre corrupção ativa, fugindo do tópico solicitado.",1 ,"Não houve alucinação contextual porque o texto apresenta uma definição coerente e correta do crime de corrupção ativa, sem contradições no seu conteúdo.",0 ,"Não houve alucinação factual, pois a definição apresentada do crime de corrupção ativa está correta. Corrupção ativa consiste em oferecer ou prometer vantagem indevida a funcionário público para que este pratique, omita ou retarde ato de ofício, conforme previsto no Código Penal brasileiro.",0.
6,7,Qual é a pena para o crime de homicídio simples?,"A pena para o crime de homicídio culposo é de reclusão, de seis a vinte anos.","Houve alucinação de input porque a resposta fala sobre homicídio culposo, enquanto a pergunta era sobre a pena para o crime de homicídio simples, que são categorias diferentes no direito penal. Portanto, a resposta foge ao tópico exato da pergunta.",1 ,"A frase apresenta uma informação direta sobre a pena para homicídio culposo, sem apresentar contradições internas ou incoerências contextuais. Portanto, não há alucinação de contexto.",0 ,"A informação está incorreta porque a pena para o crime de homicídio culposo no Código Penal brasileiro não é de reclusão de seis a vinte anos, mas sim detenção de um a três anos, conforme previsto no artigo 121, §3º do Código Penal. Portanto, há alucinação factual na afirmação dada.",1 
7,8,Qual é a pena para o crime de lesão corporal culposa?,"A pena para o crime de lesão corporal de natureza grave é de detenção, de dois a oito anos. ","Houve alucinação de input porque a pergunta foi sobre a pena para o crime de lesão corporal culposa, enquanto a resposta trata da pena para lesão corporal de natureza grave, que é um tema diferente. Portanto, a resposta fugiu do tópico da pergunta.",1 ,"Não houve alucinação contextual porque a frase é clara e consistente, informando a pena para um crime específico sem contradições ou informações incompatíveis.",0 ,"A informação está correta, pois a pena para o crime de lesão corporal de natureza grave, conforme o Código Penal brasileiro, realmente varia de detenção de dois a oito anos. Portanto, não há alucinação factual.",0 
8,9,Qual é a pena para o crime de furto simples?,"A pena para o crime de furto qualificado é de reclusão, de dois a oito anos, e multa.","Houve alucinação de input porque a resposta trata da pena para o crime de furto qualificado, enquanto a pergunta era especificamente sobre o crime de furto simples. Portanto, a resposta foge do tópico solicitado.",1.,"A frase apresenta uma informação única e consistente sobre a pena para o crime de furto qualificado, sem contradições ou incoerências contextuais.",0 ,"Houve alucinação factual porque o texto apresentado no conteúdo da página não menciona nada sobre a pena para o crime de furto qualificado sendo de reclusão de dois a oito anos e multa. O trecho fornecido fala sobre abandono intelectual e pena de detenção de quinze dias a um mês, ou multa, para deixar, sem justa causa, de prover à instrução primária de filho em idade escolar. Portanto, a informação sobre o furto qualificado não está contida no texto fornecido e diverge do conteúdo apresentado.",1.
9,10,Como a legislação penal brasileira trata o reingresso de estrangeiro expulsos do país?,"A legislação penal estrangeira não tipifica diretamente o reingresso de estrangeiro expulso como um crime no Código Penal. No entanto, a Lei de Migração (Lei nº 13.445/2017) estabelece que o estrangeiro que reingressar no País após ter sido expulso será deportado, sem prejuízo da aplicação de sanções administrativas e penais cabíveis. A ""sanção penal cabível"" pode, em tese, ser a de desobediência (Art. 330 do CP) ou, em casos mais específicos, desobediência a decisão judicial sobre perda ou restrição de direitos (Art. 359 do CP), caso a expulsão tenha sido determinada judicialmente e com cominação expressa. Contudo, a praxe tem sido a deportação administrativa.","Não houve alucinação de input porque a resposta trata diretamente da forma como a legislação penal brasileira aborda o reingresso de estrangeiros expulsos do país, mencionando tanto a Lei de Migração quanto possíveis implicações penais e administrativas relacionadas ao tema perguntado.",0.,"Houve coerência no texto apresentado, pois ele explica que o reingresso de estrangeiro expulso não é tipificado diretamente como crime no Código Penal estrangeiro, mas que a legislação brasileira prevê a deportação e a aplicação de sanções penais cabíveis. Não há contradição entre as informações; o texto se complementa. Portanto, não há alucinação contextual.",0 ,"A resposta está correta ao afirmar que o reingresso de estrangeiro expulso não é tipificado diretamente como crime no Código Penal, e que a Lei de Migração prevê a deportação nesse caso, além da possibilidade da aplicação de sanções penais como desobediência (Art. 330) ou desobediência a decisão judicial (Art. 359). Essas informações estão de acordo com a legislação brasileira atual. Portanto, não há alucinação factual no texto apresentado.",0 
